product_name,keyword,volume,kd,position,url
insurance,insurance meaning,250,56,4,https://www.investopedia.com/terms/i/insurance.asp
insurance,what is insurance,60,35,3,https://www.investopedia.com/terms/i/insurance.asp
insurance,insured meaning,250,26,11,https://www.investopedia.com/terms/i/insurance.asp
insurance,insurance,"3,700",77,8,https://www.investopedia.com/terms/i/insurance.asp
insurance,insurer insured,40,27,8,https://www.investopedia.com/terms/i/insurance.asp
insurance,policy of insurance,300,29,4,https://www.investopedia.com/terms/i/insurance.asp
insurance,insurance planning,150,5,17,https://www.investopedia.com/terms/i/insurance.asp
insurance,the insured,60,16,13,https://www.investopedia.com/terms/i/insurance.asp
insurance,life insurance,800,70,1,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,life-insurance,500,39,1,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,life insurance policy,100,58,1,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,policyholder,80,36,11,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,lifes,500,6,17,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,insurance planning,150,5,17,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,the insured,60,16,13,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,tpd insurance,50,12,18,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,insurer insured,40,27,8,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,insurance policy,300,56,4,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,life insurance quote,60,73,23,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,life assurance,80,26,29,https://www.investopedia.com/terms/l/lifeinsurance.asp
insurance,buy insurance,150,20,10,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,life insurance,800,70,1,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,life-insurance,500,39,1,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,life insurance policy,100,58,1,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,policyholder,80,36,11,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,lifes,500,6,17,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,insurance planning,150,5,17,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,the insured,60,16,13,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,tpd insurance,50,12,18,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,insurer insured,40,27,8,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,insurance policy,300,56,4,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,life insurance quote,60,73,23,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,life assurance,80,26,29,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,buy insurance,150,20,10,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,insurance plan,150,14,39,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,company policy,100,37,37,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,this is life,90,0,44,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,what is life,300,59,57,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,life assured,80,7,91,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,term insurance,150,49,81,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,insurance,"3,700",77,48,https://www.investopedia.com/terms/l/lifeinsurance.asp
life insurance,prudential insurance,450,68,18,https://www.investopedia.com/terms/l/lifeinsurance.asp
保健保險,医疗 保险,450,3,30,https://www.mayoclinic.org/zh-hans/patient-visitor-guide/billing-insurance/glossary
保健保險,医疗保险,150,3,32,https://www.mayoclinic.org/zh-hans/patient-visitor-guide/billing-insurance/glossary
保健保險,門診 醫療 計劃,70,0,33,https://www.mayoclinic.org/zh-hans/patient-visitor-guide/billing-insurance/glossary
保健保險,保险,450,64,43,https://www.mayoclinic.org/zh-hans/patient-visitor-guide/billing-insurance/glossary
保健保險,產科 保險,40,0,36,https://www.mayoclinic.org/zh-hans/patient-visitor-guide/billing-insurance/glossary
保健保險,聯邦 保險,40,0,16,https://www.mhanational.org/sites/default/files/How%20Ins%20works_Chin.pdf
保健保險,健康 保險,300,6,30,https://www.mhanational.org/sites/default/files/How%20Ins%20works_Chin.pdf
保健保險,健康保險,100,7,34,https://www.mhanational.org/sites/default/files/How%20Ins%20works_Chin.pdf
保健保險,保險費用,300,10,42,https://www.mhanational.org/sites/default/files/How%20Ins%20works_Chin.pdf
保健保險,車保比較,500,3,72,https://www.mhanational.org/sites/default/files/How%20Ins%20works_Chin.pdf
保健保險,車保比較,500,4,79,https://www.mhanational.org/sites/default/files/How%20Ins%20works_Chin.pdf
人壽保險,人壽 保險 是 什麼,200,1,22,https://www.greateasternlife.com/sg/zh/personal-insurance/understand-insurance/how-to-start-planning/life-protection/life-cover-for-first-time-buyers.html
人壽保險,人壽保險是什麼,200,0,38,https://www.greateasternlife.com/sg/zh/personal-insurance/understand-insurance/how-to-start-planning/life-protection/life-cover-for-first-time-buyers.html
人壽保險,人壽保險意思,150,0,49,https://www.greateasternlife.com/sg/zh/personal-insurance/understand-insurance/how-to-start-planning/life-protection/life-cover-for-first-time-buyers.html
人壽保險,人壽 保險 意思,200,0,58,https://www.greateasternlife.com/sg/zh/personal-insurance/understand-insurance/how-to-start-planning/life-protection/life-cover-for-first-time-buyers.html
人壽保險,人寿保险,250,76,75,https://www.greateasternlife.com/sg/zh/personal-insurance/understand-insurance/how-to-start-planning/life-protection/life-cover-for-first-time-buyers.html
人壽保險,人寿 保险,200,14,82,https://www.greateasternlife.com/sg/zh/personal-insurance/understand-insurance/how-to-start-planning/life-protection/life-cover-for-first-time-buyers.html
人壽保險,人寿保险,250,15,91,https://www.greateasternlife.com/sg/zh/personal-insurance/understand-insurance/how-to-start-planning/life-protection/life-cover-for-first-time-buyers.html
人壽保險,人壽 保險 意思,200,0,8,https://baike.baidu.hk/item/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA/420253
人壽保險,人壽保險意思,150,0,6,https://baike.baidu.hk/item/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA/420253
人壽保險,人壽保險是什麼,200,0,11,https://baike.baidu.hk/item/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA/420253
人壽保險,人壽保險,"2,600",3,61,https://baike.baidu.hk/item/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA/420253
人壽保險,人寿保险,250,76,3,https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA
人壽保險,人寿 保险,200,14,4,https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA
人壽保險,人壽 保險 英文,50,0,3,https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA
人壽保險,寿险,100,3,6,https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA
人壽保險,life insurance 中文,100,2,7,https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA
人壽保險,人壽 保险,250,6,15,https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA
人壽保險,壽險,100,0,18,https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA
人壽保險,人寿,80,38,7,https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA
人壽保險,保險 英文,800,0,14,https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA
人壽保險,自殺 保險,150,0,20,https://zh.wikipedia.org/wiki/%E4%BA%BA%E5%A3%BD%E4%BF%9D%E9%9A%AA
